personId,personName,imdbMovieId,companySearch,companyMatchRatio,personRole,movieReleaseYear,matchedCompanyId,matchedCompanyName
4896903,Matthew Grueber,0770828,weta digital,100,digital effects crew,2013,0005031,Weta Digital
4896903,Matthew Grueber,0903624,weta digital,100,modeler,2012,0005031,Weta Digital
4896903,Matthew Grueber,1446714,weta digital,100,creatures department,2012,0005031,Weta Digital
4896903,Matthew Grueber,0983193,weta digital,100,assistant technical director,2011,0005031,Weta Digital
4896903,Matthew Grueber,1318514,weta digital,100,creature technical director,2011,0005031,Weta Digital
3731891,James Dee,0499549,weta digital,100,assistant layout technical director,2009,0005031,Weta Digital
3731891,James Dee,0970416,weta digital ltd,86,runner,2008,0005031,Weta Digital
3731891,James Dee,0499448,weta digital ltd,86,runner,2008,0005031,Weta Digital
3731891,James Dee,0489099,weta digital ltd,86,runner,2008,0005031,Weta Digital
5524021,Dan Armstrong,0903624,weta digital,100,motion editor,2012,0005031,Weta Digital
1673453,Sandro Henriques,0360717,weta digital,100,lead rotoscope artist,2005,0005031,Weta Digital
0614555,Mike L. Murphy,0343818,weta digital,100,senior animator,2004,0005031,Weta Digital
0614555,Mike L. Murphy,0167260,weta digital,100,senior animator,2003,0005031,Weta Digital
0614555,Mike L. Murphy,0167261,weta digital,100,senior animator,2002,0005031,Weta Digital
2743188,Dudley Birch,0499549,weta digital,100,assistant technical director,2009,0005031,Weta Digital
3830227,Ebrahim Jahromi,1430132,weta digital,100,creature technical director,2013,0005031,Weta Digital
3830227,Ebrahim Jahromi,0770828,weta digital,100,creature technical director,2013,0005031,Weta Digital
3830227,Ebrahim Jahromi,1300854,weta digital,100,digital effects crew,2013,0005031,Weta Digital
3830227,Ebrahim Jahromi,0903624,weta digital,100,creature technical director,2012,0005031,Weta Digital
3721918,Olaf Skjenna,0770828,weta digital,100,digital effects crew,2013,0005031,Weta Digital
3721918,Olaf Skjenna,1300854,weta digital,100,layout lead,2013,0005031,Weta Digital
3721918,Olaf Skjenna,0499549,weta digital,100,layout technical director,2009,0005031,Weta Digital
1034316,Chris Winter,0903624,weta digital,100,systems,2012,0005031,Weta Digital
1034316,Chris Winter,1318514,weta digital,100,systems and technical support,2011,0005031,Weta Digital
1034316,Chris Winter,0499549,weta digital,100,systems,2009,0005031,Weta Digital
1034316,Chris Winter,0380510,weta digital,100,technical support,2009,0005031,Weta Digital
1403843,Lisa Wild,0903624,weta digital,100,massive technical director,2012,0005031,Weta Digital
1403843,Lisa Wild,0167260,weta digital,100,lead Massive technical director,2003,0005031,Weta Digital
1403843,Lisa Wild,0167261,weta digital,100,massive crowd technical director,2002,0005031,Weta Digital
1403843,Lisa Wild,0120737,weta digital,100,massive crowd technical director,2001,0005031,Weta Digital
0683410,Jamie Pilgrim,0120737,weta digital,100,3D technical director,2001,0005031,Weta Digital
1424612,Daniel James Cox,0389722,weta digital,100,digital matte artist,2007,0005031,Weta Digital
1424612,Daniel James Cox,0486576,weta digital,100,matte painting and concept art team,2007,0005031,Weta Digital
1424612,Daniel James Cox,0449010,weta digital,100,digital matte artist,2006,0005031,Weta Digital
0003815,Ronn Brown,0167260,weta digital,100,senior matte artist,2003,0005031,Weta Digital
1629610,Udo Smutny,0167260,weta digital,100,compositor,2003,0005031,Weta Digital
1401690,Loren Brookes,0499549,weta digital,100,lighting technical director,2009,0005031,Weta Digital
1401690,Loren Brookes,0760329,weta digital,100,lead systems coder,2007,0005031,Weta Digital
1401690,Loren Brookes,0167260,weta digital,100,systems coder,2003,0005031,Weta Digital
1401690,Loren Brookes,0167261,weta digital,100,render wrangler,2002,0005031,Weta Digital
1401690,Loren Brookes,0120737,weta digital,100,render wrangler,2001,0005031,Weta Digital
3748970,John Nugent Jr.,0499549,weta digital,100,technical support,2009,0005031,Weta Digital
3748970,John Nugent Jr.,0380510,weta digital,100,technical support,2009,0005031,Weta Digital
5388592,Steve Lesser,0903624,weta digital,100,software developer,2012,0005031,Weta Digital
1368021,Evan Shipard,0389722,weta digital,100,concept artist,2007,0005031,Weta Digital
1368021,Evan Shipard,0486576,weta digital,100,matte painting and concept art team,2007,0005031,Weta Digital
4716197,Kieran Smith,0499549,weta digital,100,assistant technical director,2009,0005031,Weta Digital
1399581,Lisa Wildermoth,1300854,weta digital,100,digital effects crew,2013,0005031,Weta Digital
1399581,Lisa Wildermoth,0903624,weta digital,100,motion capture production manager,2012,0005031,Weta Digital
1399581,Lisa Wildermoth,1318514,weta digital,100,motion capture production manager,2011,0005031,Weta Digital
1399581,Lisa Wildermoth,0499549,weta digital,100,motion capture production manager,2009,0005031,Weta Digital
1399581,Lisa Wildermoth,1136608,weta digital,100,motion capture first ad,2009,0005031,Weta Digital
1399581,Lisa Wildermoth,0376994,weta digital,100,digital effects artist,2006,0005031,Weta Digital
1399581,Lisa Wildermoth,0167260,weta digital,100,motion capture assistant director,2003,0005031,Weta Digital
2334155,Danie Lupovici,0167260,weta digital,100,motion editor,2003,0005031,Weta Digital
5192358,Jaewoo Seo,0903624,weta digital,100,research and development,2012,0005031,Weta Digital
2140459,Hillary Yeo Tze Ann,0380510,weta digital,100,lead & senior texture artist,2009,0005031,Weta Digital
2140459,Hillary Yeo Tze Ann,0167260,weta digital,100,lead texture painter,2003,0005031,Weta Digital
2140459,Hillary Yeo Tze Ann,0167261,weta digital,100,texture painter,2002,0005031,Weta Digital
3863362,Tom Greene,1611224,weta digital,100,production manager,2012,0005031,Weta Digital
3863362,Tom Greene,0983193,weta digital,100,animation coordinator,2011,0005031,Weta Digital
3863362,Tom Greene,1318514,weta digital,100,animation coordinator,2011,0005031,Weta Digital
3863362,Tom Greene,1270798,weta digital,100,production coordinator,2011,0005031,Weta Digital
3863362,Tom Greene,1320261,weta digital,100,production coordinator,2010,0005031,Weta Digital
